Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
14/01/17,5fc4529d9280f04a4cadda4b,5fc4529d9280f04a4cadda3c,1.0,3.0,A,1.0,3.0,A,5fc451059280f04a4cad63da,14.0,14.0,3.0,6.0,16.0,11.0,5.0,2.0,3.0,1.0,0.0,0.0,2016-17
14/01/17,5fc4529d9280f04a4cadda43,5fc4529d9280f04a4cadda3d,0.0,4.0,A,0.0,1.0,A,5fc451059280f04a4cad63ca,12.0,14.0,3.0,6.0,12.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,2016-17
14/01/17,5fc4529d9280f04a4cadda49,5fc4529d9280f04a4cadda35,4.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63c8,21.0,3.0,11.0,0.0,11.0,12.0,8.0,0.0,0.0,2.0,0.0,0.0,2016-17
14/01/17,5fc4529d9280f04a4cadda48,5fc4529d9280f04a4cadda4e,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63d0,12.0,5.0,5.0,1.0,15.0,15.0,3.0,1.0,3.0,1.0,0.0,0.0,2016-17
14/01/17,5fc4529d9280f04a4cadda38,5fc4529d9280f04a4cadda47,3.0,0.0,H,0.0,0.0,D,5fc451059280f04a4cad63c9,14.0,10.0,3.0,1.0,10.0,14.0,2.0,2.0,4.0,2.0,0.0,0.0,2016-17
15/01/17,5fc4529d9280f04a4cadda36,5fc4529d9280f04a4cadda3f,4.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63d4,6.0,13.0,4.0,5.0,17.0,7.0,3.0,6.0,2.0,2.0,0.0,0.0,2016-17
15/01/17,5fc4529d9280f04a4cadda41,5fc4529d9280f04a4cadda4d,1.0,1.0,D,0.0,1.0,A,5fc451059280f04a4cad63cc,9.0,13.0,3.0,4.0,17.0,13.0,5.0,7.0,1.0,3.0,0.0,0.0,2016-17
21/01/17,5fc4529d9280f04a4cadda4a,5fc4529d9280f04a4cadda48,2.0,2.0,D,0.0,1.0,A,5fc451059280f04a4cad63dd,15.0,10.0,5.0,3.0,6.0,16.0,9.0,4.0,1.0,1.0,0.0,0.0,2016-17
21/01/17,5fc4529d9280f04a4cadda47,5fc4529d9280f04a4cadda36,0.0,1.0,A,0.0,0.0,D,5fc451059280f04a4cad63c8,8.0,16.0,2.0,8.0,10.0,15.0,8.0,7.0,0.0,1.0,0.0,0.0,2016-17
21/01/17,5fc4529d9280f04a4cadda4d,5fc4529d9280f04a4cadda43,2.0,3.0,A,0.0,0.0,D,5fc451059280f04a4cad63cf,16.0,6.0,5.0,3.0,7.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,2016-17
21/01/17,5fc4529d9280f04a4cadda3f,5fc4529d9280f04a4cadda49,2.0,2.0,D,0.0,0.0,D,5fc451059280f04a4cad63d8,17.0,6.0,7.0,2.0,10.0,7.0,5.0,4.0,2.0,4.0,0.0,0.0,2016-17
21/01/17,5fc4529d9280f04a4cadda4e,5fc4529d9280f04a4cadda38,1.0,3.0,A,1.0,2.0,A,5fc451059280f04a4cad63c7,11.0,13.0,2.0,5.0,7.0,14.0,7.0,5.0,2.0,1.0,0.0,0.0,2016-17
21/01/17,5fc4529d9280f04a4cadda3c,5fc4529d9280f04a4cadda41,1.0,1.0,D,1.0,0.0,H,5fc451059280f04a4cad63d4,6.0,25.0,1.0,8.0,12.0,13.0,1.0,7.0,4.0,0.0,0.0,0.0,2016-17
21/01/17,5fc4529d9280f04a4cadda35,5fc4529d9280f04a4cadda4b,2.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63d1,14.0,9.0,5.0,3.0,15.0,12.0,1.0,4.0,1.0,1.0,0.0,0.0,2016-17
22/01/17,5fc4529d9280f04a4cadda3d,5fc4529d9280f04a4cadda45,2.0,1.0,H,0.0,0.0,D,5fc451059280f04a4cad63d0,24.0,13.0,8.0,7.0,12.0,11.0,10.0,4.0,1.0,3.0,1.0,0.0,2016-17
22/01/17,5fc4529d9280f04a4cadda46,5fc4529d9280f04a4cadda39,2.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63c9,9.0,9.0,5.0,4.0,12.0,10.0,9.0,7.0,1.0,3.0,0.0,0.0,2016-17
22/01/17,5fc4529d9280f04a4cadda3b,5fc4529d9280f04a4cadda42,3.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63cc,20.0,11.0,7.0,2.0,8.0,10.0,7.0,2.0,0.0,1.0,0.0,0.0,2016-17
31/01/17,5fc4529d9280f04a4cadda3d,5fc4529d9280f04a4cadda48,1.0,2.0,A,0.0,2.0,A,5fc451059280f04a4cad63d8,20.0,10.0,5.0,6.0,12.0,15.0,9.0,5.0,3.0,3.0,0.0,0.0,2016-17
31/01/17,5fc4529d9280f04a4cadda4a,5fc4529d9280f04a4cadda47,0.0,2.0,A,0.0,0.0,D,5fc451059280f04a4cad63d0,10.0,11.0,2.0,4.0,14.0,23.0,2.0,3.0,0.0,4.0,0.0,0.0,2016-17
31/01/17,5fc4529d9280f04a4cadda45,5fc4529d9280f04a4cadda42,1.0,0.0,H,0.0,0.0,D,5fc451059280f04a4cad63da,24.0,13.0,3.0,5.0,4.0,8.0,10.0,2.0,1.0,0.0,0.0,0.0,2016-17
31/01/17,5fc4529d9280f04a4cadda4d,5fc4529d9280f04a4cadda46,1.0,1.0,D,0.0,1.0,A,5fc451059280f04a4cad63d4,7.0,8.0,3.0,2.0,13.0,8.0,3.0,3.0,2.0,1.0,0.0,0.0,2016-17
31/01/17,5fc4529d9280f04a4cadda4e,5fc4529d9280f04a4cadda35,1.0,1.0,D,1.0,1.0,D,5fc451059280f04a4cad63dc,11.0,16.0,3.0,5.0,12.0,13.0,4.0,2.0,2.0,1.0,0.0,0.0,2016-17
31/01/17,5fc4529d9280f04a4cadda4b,5fc4529d9280f04a4cadda49,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63dd,3.0,14.0,1.0,3.0,9.0,13.0,2.0,12.0,2.0,1.0,0.0,0.0,2016-17
31/01/17,5fc4529d9280f04a4cadda43,5fc4529d9280f04a4cadda3b,2.0,1.0,H,1.0,0.0,H,5fc451059280f04a4cad63d3,11.0,10.0,5.0,2.0,10.0,19.0,5.0,4.0,2.0,0.0,0.0,0.0,2016-17
1/2/17,5fc4529d9280f04a4cadda41,5fc4529d9280f04a4cadda39,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63ca,15.0,6.0,6.0,2.0,20.0,16.0,7.0,1.0,1.0,4.0,0.0,0.0,2016-17
1/2/17,5fc4529d9280f04a4cadda3c,5fc4529d9280f04a4cadda36,1.0,1.0,D,1.0,1.0,D,5fc451059280f04a4cad63d1,14.0,14.0,7.0,5.0,21.0,12.0,5.0,5.0,1.0,0.0,0.0,0.0,2016-17
